  Place  Team Name                  Points Won    Points Lost    Pins+HDCP    Scratch Pins
-------  -----------------------  ------------  -------------  -----------  --------------
      1  Rick Rollers                     22              8           8692            5692
      2  Bad Attitude                     21              9           9029            8177
      3  Engineering Strikes              21              9           8880            7668
      4  TB Inc LLC                       21              9           8658            5934
      5  I am Root                        20             10           8859            5995
      6  The Outsiders                    19             11           8594            7900
      7  AWACS ON/OFF                     18             12           8874            7052
      8  Craptastic                       18             12           8606            6766
      9  Split Happens                    17             13           8809            6669
     10  Guess Who                        17             13           8664            6116
     11  One More                         16             14           8801            8229
     12  Lunch Hour Hookers               16             14           8669            6413
     13  The Munsons                      16             14           8492            6108
     14  SPAM                             14             16           8684            7668
     15  Spare Me                         14             16           8628            6014
     16  Barely Bowling                   14             16           8558            5508
     17  Who gives a split                14             16           8534            5194
     18  The Century Club                 14             16           8523            5967
     19  We Don't Give A Split            14             16           8520            5796
     20  Top Gun                          13             17           8574            6576
     21  Mark it Zero !                   13             17           8427            6569
     22  XXX Dancers                      12             18           8504            6070
     23  Roll Clones                      11.5           18.5         8290            6980
     24  Bob_Rossing It                   11             19           8411            5445
     25  Backstabbers                      9             21           8872            7054
     26  Lane Violation                    9             21           8575            5407
     27  Sandbaggers                       8.5           21.5         8356            6676
     28  Alias Smith and Godfrey           7             23           8387            5351
